order_id,order_date,order_time,custid,status
1,2015-01-01,11:38:36,106,Delivered
2,2015-01-01,11:57:40,105,Success
3,2015-01-01,12:12:28,110,Delivered
4,2015-01-01,12:16:31,108,Success
5,2015-01-01,12:21:30,102,Success
6,2015-01-01,12:29:36,101,Delivered
7,2015-01-01,12:50:37,102,Delivered
8,2015-01-01,12:51:37,103,Success
9,2015-01-01,12:52:01,104,Delivered
10,2015-01-01,13:00:15,110,Failed
11,2015-01-01,13:02:59,106,Delivered
12,2015-01-01,13:04:41,110,Delivered
13,2015-01-01,13:11:55,110,Success
14,2015-01-01,13:14:19,105,Cancelled
15,2015-01-01,13:33:00,108,Failed
16,2015-01-01,13:34:07,103,Cancelled
17,2015-01-01,13:53:00,102,Failed
18,2015-01-01,13:57:08,101,Cancelled
19,2015-01-01,13:59:09,110,Delivered
20,2015-01-01,14:03:08,101,Success
21,2015-01-01,14:14:29,106,Delivered
22,2015-01-01,14:16:26,107,Cancelled
23,2015-01-01,14:19:03,108,Success
24,2015-01-01,14:23:01,109,Cancelled
25,2015-01-01,14:44:44,103,Cancelled
26,2015-01-01,14:54:26,106,Cancelled
27,2015-01-01,15:11:17,106,Delivered
28,2015-01-01,15:35:46,107,Delivered
29,2015-01-01,15:41:01,106,Failed
30,2015-01-01,15:41:25,105,Delivered
31,2015-01-01,15:50:18,107,Failed
32,2015-01-01,15:53:18,102,Failed
33,2015-01-01,15:54:08,102,Failed
34,2015-01-01,16:21:21,105,Cancelled
35,2015-01-01,16:32:04,105,Failed
36,2015-01-01,16:54:09,104,Failed
37,2015-01-01,16:56:09,104,Delivered
38,2015-01-01,17:03:00,104,Cancelled
39,2015-01-01,17:07:23,107,Failed
40,2015-01-01,17:14:36,110,Success
41,2015-01-01,17:15:20,105,Success
42,2015-01-01,17:28:09,108,Delivered
43,2015-01-01,17:38:34,110,Cancelled
44,2015-01-01,17:54:20,110,Success
45,2015-01-01,17:55:48,106,Delivered
46,2015-01-01,18:25:51,108,Failed
47,2015-01-01,18:26:34,103,Cancelled
48,2015-01-01,18:26:42,104,Cancelled
49,2015-01-01,18:33:00,102,Success
50,2015-01-01,18:41:01,106,Delivered
51,2015-01-01,18:48:28,106,Cancelled
52,2015-01-01,18:53:02,103,Failed
53,2015-01-01,18:54:17,108,Success
54,2015-01-01,19:01:45,105,Cancelled
55,2015-01-01,19:03:19,107,Failed
56,2015-01-01,19:07:00,104,Failed
57,2015-01-01,19:10:51,108,Success
58,2015-01-01,19:30:40,103,Failed
59,2015-01-01,19:40:08,108,Success
60,2015-01-01,20:05:16,103,Failed
61,2015-01-01,20:08:43,105,Delivered
62,2015-01-01,20:50:16,105,Failed
63,2015-01-01,20:51:42,104,Delivered
64,2015-01-01,20:52:08,109,Delivered
65,2015-01-01,21:16:00,109,Delivered
66,2015-01-01,21:47:55,110,Cancelled
67,2015-01-01,22:03:40,105,Delivered
68,2015-01-01,22:07:32,107,Delivered
69,2015-01-01,22:12:13,103,Success
70,2015-01-02,11:38:51,105,Delivered
71,2015-01-02,11:40:50,108,Failed
72,2015-01-02,11:57:25,104,Delivered
73,2015-01-02,11:58:56,102,Failed
74,2015-01-02,12:01:12,106,Delivered
75,2015-01-02,12:10:15,107,Cancelled
76,2015-01-02,12:21:17,108,Delivered
77,2015-01-02,12:22:46,104,Success
78,2015-01-02,12:28:14,110,Delivered
79,2015-01-02,12:29:11,103,Delivered
80,2015-01-02,12:35:38,105,Failed
81,2015-01-02,12:40:01,110,Cancelled
82,2015-01-02,12:45:51,102,Delivered
83,2015-01-02,12:53:27,110,Failed
84,2015-01-02,13:13:41,104,Failed
85,2015-01-02,13:34:49,101,Cancelled
86,2015-01-02,13:40:31,106,Delivered
87,2015-01-02,14:01:02,105,Cancelled
88,2015-01-02,14:10:08,108,Failed
89,2015-01-02,14:30:19,103,Failed
90,2015-01-02,15:08:48,110,Failed
91,2015-01-02,15:14:43,108,Failed
92,2015-01-02,15:17:02,107,Success
93,2015-01-02,15:29:31,102,Delivered
94,2015-01-02,16:17:16,107,Failed
95,2015-01-02,16:18:04,103,Delivered
96,2015-01-02,16:21:20,106,Cancelled
97,2015-01-02,16:45:33,108,Failed
98,2015-01-02,17:18:18,107,Cancelled
99,2015-01-02,17:45:42,110,Failed
100,2015-01-02,17:46:17,109,Delivered
101,2015-01-02,17:51:33,106,Success
102,2015-01-02,17:54:04,104,Cancelled
103,2015-01-02,18:02:09,110,Cancelled
104,2015-01-02,18:02:12,101,Delivered
105,2015-01-02,18:12:01,110,Cancelled
106,2015-01-02,18:12:13,102,Cancelled
107,2015-01-02,18:25:09,109,Failed
108,2015-01-02,18:25:25,110,Cancelled
109,2015-01-02,18:27:50,102,Cancelled
110,2015-01-02,18:36:19,108,Cancelled
111,2015-01-02,18:38:01,103,Failed
112,2015-01-02,18:41:40,103,Cancelled
113,2015-01-02,18:50:21,105,Cancelled
114,2015-01-02,18:59:32,103,Cancelled
115,2015-01-02,19:05:17,103,Delivered
116,2015-01-02,19:18:49,101,Success
117,2015-01-02,19:23:02,108,Success
118,2015-01-02,19:26:59,105,Success
119,2015-01-02,19:32:29,106,Failed
120,2015-01-02,19:35:07,106,Cancelled
121,2015-01-02,19:38:48,106,Delivered
122,2015-01-02,19:50:19,101,Success
123,2015-01-02,20:12:09,106,Failed
124,2015-01-02,20:12:34,101,Success
125,2015-01-02,20:31:06,101,Delivered
126,2015-01-02,20:53:42,102,Success
127,2015-01-02,20:58:23,107,Cancelled
128,2015-01-02,21:05:06,110,Delivered
129,2015-01-02,21:13:02,106,Success
130,2015-01-02,21:14:55,110,Cancelled
131,2015-01-02,21:33:10,106,Failed
132,2015-01-02,21:42:45,110,Failed
133,2015-01-02,22:00:17,103,Cancelled
134,2015-01-02,22:13:24,109,Success
135,2015-01-02,22:29:34,110,Cancelled
136,2015-01-02,22:32:49,105,Cancelled
137,2015-01-03,11:34:10,104,Cancelled
138,2015-01-03,11:44:50,108,Success
139,2015-01-03,11:57:39,102,Success
140,2015-01-03,12:26:44,110,Success
141,2015-01-03,13:16:01,109,Delivered
142,2015-01-03,13:33:59,103,Failed
143,2015-01-03,13:41:36,109,Success
144,2015-01-03,13:44:28,106,Delivered
145,2015-01-03,13:53:48,110,Cancelled
146,2015-01-03,14:22:10,108,Failed
147,2015-01-03,14:32:51,109,Delivered
148,2015-01-03,14:40:42,107,Failed
149,2015-01-03,14:48:45,106,Delivered
150,2015-01-03,14:49:58,103,Cancelled
151,2015-01-03,15:09:34,105,Cancelled
152,2015-01-03,15:09:42,109,Success
153,2015-01-03,15:16:34,106,Success
154,2015-01-03,15:22:43,102,Failed
155,2015-01-03,15:28:59,104,Success
156,2015-01-03,15:42:19,108,Failed
157,2015-01-03,15:43:03,106,Success
158,2015-01-03,15:54:30,103,Failed
159,2015-01-03,15:59:22,107,Success
160,2015-01-03,16:35:33,107,Failed
161,2015-01-03,16:43:46,103,Cancelled
162,2015-01-03,16:51:22,103,Failed
163,2015-01-03,16:54:54,101,Failed
164,2015-01-03,16:56:33,105,Delivered
165,2015-01-03,16:57:37,101,Success
166,2015-01-03,16:58:51,102,Cancelled
167,2015-01-03,17:00:49,106,Success
168,2015-01-03,17:02:27,106,Success
169,2015-01-03,17:15:48,110,Cancelled
170,2015-01-03,17:21:31,109,Delivered
171,2015-01-03,17:23:03,107,Success
172,2015-01-03,17:29:24,103,Cancelled
173,2015-01-03,17:35:30,109,Delivered
174,2015-01-03,17:37:49,104,Success
175,2015-01-03,17:50:51,104,Cancelled
176,2015-01-03,17:51:57,109,Failed
177,2015-01-03,17:54:36,107,Cancelled
178,2015-01-03,18:15:03,105,Success
179,2015-01-03,18:20:14,104,Failed
180,2015-01-03,18:33:34,102,Cancelled
181,2015-01-03,18:49:32,101,Success
182,2015-01-03,18:50:10,104,Success
183,2015-01-03,18:54:55,107,Cancelled
184,2015-01-03,18:59:05,109,Cancelled
185,2015-01-03,19:08:33,103,Success
186,2015-01-03,19:36:00,102,Delivered
187,2015-01-03,19:37:12,104,Cancelled
188,2015-01-03,20:08:39,103,Failed
189,2015-01-03,20:12:14,102,Failed
190,2015-01-03,20:14:23,101,Success
191,2015-01-03,20:24:50,110,Failed
192,2015-01-03,20:30:08,108,Success
193,2015-01-03,20:55:47,104,Delivered
194,2015-01-03,21:21:24,103,Success
195,2015-01-03,21:25:20,107,Success
196,2015-01-03,21:40:14,104,Failed
197,2015-01-03,21:47:48,102,Failed
198,2015-01-03,21:55:42,102,Failed
199,2015-01-03,22:10:38,103,Success
200,2015-01-03,22:24:05,104,Cancelled
201,2015-01-03,22:29:59,104,Failed
202,2015-01-03,22:50:29,109,Success
203,2015-01-04,11:30:48,104,Cancelled
204,2015-01-04,11:36:25,106,Success
205,2015-01-04,11:43:54,110,Delivered
206,2015-01-04,11:45:10,110,Failed
207,2015-01-04,12:03:58,110,Success
208,2015-01-04,12:12:05,108,Failed
209,2015-01-04,12:29:17,110,Failed
210,2015-01-04,12:34:13,104,Cancelled
211,2015-01-04,12:54:20,110,Cancelled
212,2015-01-04,13:16:03,107,Success
213,2015-01-04,13:20:39,103,Delivered
214,2015-01-04,13:39:16,106,Failed
215,2015-01-04,13:44:49,102,Failed
216,2015-01-04,14:31:56,107,Cancelled
217,2015-01-04,14:35:03,106,Delivered
218,2015-01-04,14:35:11,109,Success
219,2015-01-04,14:42:01,108,Failed
220,2015-01-04,15:31:59,110,Cancelled
221,2015-01-04,15:33:18,108,Success
222,2015-01-04,15:46:38,104,Success
223,2015-01-04,16:08:20,102,Failed
224,2015-01-04,16:39:58,107,Cancelled
225,2015-01-04,16:41:48,110,Failed
226,2015-01-04,16:59:39,110,Success
227,2015-01-04,17:24:39,106,Success
228,2015-01-04,17:31:24,102,Failed
229,2015-01-04,17:37:57,109,Delivered
230,2015-01-04,17:58:38,102,Delivered
231,2015-01-04,18:04:18,106,Failed
232,2015-01-04,18:21:59,105,Delivered
233,2015-01-04,18:26:51,106,Delivered
234,2015-01-04,18:36:09,110,Failed
235,2015-01-04,18:51:30,102,Success
236,2015-01-04,19:21:04,109,Success
237,2015-01-04,19:27:48,102,Failed
238,2015-01-04,19:45:15,101,Success
239,2015-01-04,19:57:52,108,Success
240,2015-01-04,20:10:24,109,Failed
241,2015-01-04,20:11:25,109,Success
242,2015-01-04,20:15:29,101,Failed
243,2015-01-04,20:26:17,102,Success
244,2015-01-04,20:26:22,102,Failed
245,2015-01-04,20:28:41,108,Success
246,2015-01-04,20:30:48,104,Failed
247,2015-01-04,20:55:29,105,Success
248,2015-01-04,20:58:19,106,Delivered
249,2015-01-04,21:06:16,105,Delivered
250,2015-01-04,21:07:05,101,Delivered
251,2015-01-04,21:10:05,106,Cancelled
252,2015-01-04,22:13:15,101,Delivered
253,2015-01-04,22:16:18,103,Cancelled
254,2015-01-04,22:22:13,109,Delivered
255,2015-01-05,11:23:35,108,Delivered
256,2015-01-05,11:56:06,101,Success
257,2015-01-05,11:59:04,108,Delivered
258,2015-01-05,11:59:23,101,Success
259,2015-01-05,12:04:25,104,Success
260,2015-01-05,12:06:27,110,Success
261,2015-01-05,12:38:29,107,Delivered
262,2015-01-05,12:42:01,108,Cancelled
263,2015-01-05,12:57:22,110,Delivered
264,2015-01-05,13:03:59,109,Cancelled
265,2015-01-05,13:04:42,104,Cancelled
266,2015-01-05,13:09:29,102,Delivered
267,2015-01-05,13:37:50,109,Failed
268,2015-01-05,13:40:46,106,Cancelled
269,2015-01-05,13:49:34,104,Failed
270,2015-01-05,14:09:02,103,Failed
271,2015-01-05,14:22:19,106,Delivered
272,2015-01-05,14:24:05,105,Failed
273,2015-01-05,14:28:00,106,Success
274,2015-01-05,14:36:33,109,Cancelled
275,2015-01-05,14:38:14,106,Delivered
276,2015-01-05,15:18:18,104,Delivered
277,2015-01-05,15:41:50,110,Delivered
278,2015-01-05,15:49:21,104,Delivered
279,2015-01-05,16:07:03,106,Delivered
280,2015-01-05,16:20:23,106,Success
281,2015-01-05,16:33:48,103,Delivered
282,2015-01-05,16:49:38,110,Delivered
283,2015-01-05,16:51:43,106,Failed
284,2015-01-05,16:58:16,108,Delivered
285,2015-01-05,16:58:38,109,Success
286,2015-01-05,17:01:23,105,Failed
287,2015-01-05,17:30:09,108,Failed
288,2015-01-05,17:32:44,109,Cancelled
289,2015-01-05,17:36:23,110,Cancelled
290,2015-01-05,17:41:16,110,Failed
291,2015-01-05,17:44:39,101,Cancelled
292,2015-01-05,17:48:59,106,Delivered
293,2015-01-05,17:58:38,109,Cancelled
294,2015-01-05,18:16:35,108,Delivered
295,2015-01-05,18:20:12,102,Delivered
296,2015-01-05,18:46:54,106,Success
297,2015-01-05,19:02:18,104,Delivered
298,2015-01-05,19:10:36,102,Failed
299,2015-01-05,19:34:31,109,Cancelled
300,2015-01-05,19:42:54,102,Cancelled
301,2015-01-05,19:45:58,101,Cancelled
302,2015-01-05,19:57:37,107,Failed
303,2015-01-05,20:02:51,105,Delivered
304,2015-01-05,20:07:58,106,Cancelled
305,2015-01-05,20:35:40,109,Success
306,2015-01-05,20:37:40,108,Delivered
307,2015-01-05,21:45:38,102,Success
308,2015-01-05,21:59:46,105,Failed
309,2015-01-06,11:39:06,104,Success
310,2015-01-06,11:40:48,102,Success
311,2015-01-06,11:57:27,109,Cancelled
312,2015-01-06,12:05:21,106,Success
313,2015-01-06,12:09:09,104,Delivered
314,2015-01-06,12:11:58,109,Delivered
315,2015-01-06,12:17:40,103,Cancelled
316,2015-01-06,12:29:34,110,Cancelled
317,2015-01-06,12:31:00,109,Cancelled
318,2015-01-06,12:45:14,107,Delivered
319,2015-01-06,12:46:22,110,Success
320,2015-01-06,12:46:40,104,Delivered
321,2015-01-06,12:56:21,110,Delivered
322,2015-01-06,13:02:13,104,Delivered
323,2015-01-06,13:05:33,108,Cancelled
324,2015-01-06,13:06:44,105,Delivered
325,2015-01-06,13:07:32,106,Delivered
326,2015-01-06,13:10:13,109,Failed
327,2015-01-06,13:10:54,106,Failed
328,2015-01-06,13:16:35,108,Success
329,2015-01-06,13:22:44,106,Success
330,2015-01-06,13:27:11,105,Success
331,2015-01-06,13:43:30,102,Failed
332,2015-01-06,14:12:01,108,Cancelled
333,2015-01-06,14:16:36,104,Failed
334,2015-01-06,14:24:18,101,Cancelled
335,2015-01-06,14:24:47,103,Delivered
336,2015-01-06,14:51:41,106,Cancelled
337,2015-01-06,15:03:12,102,Delivered
338,2015-01-06,15:18:26,110,Failed
339,2015-01-06,15:25:13,109,Success
340,2015-01-06,15:35:32,105,Failed
341,2015-01-06,15:35:47,107,Delivered
342,2015-01-06,15:44:12,109,Failed
343,2015-01-06,15:45:37,104,Delivered
344,2015-01-06,16:01:11,105,Failed
345,2015-01-06,16:01:47,102,Cancelled
346,2015-01-06,16:30:00,102,Cancelled
347,2015-01-06,16:37:17,108,Delivered
348,2015-01-06,16:49:12,107,Failed
349,2015-01-06,17:25:58,101,Cancelled
350,2015-01-06,17:37:05,103,Delivered
351,2015-01-06,17:37:29,105,Success
